origin,destination,flow
444,473,3
444,494,1
446,358,1
446,389,1
447,418,1
448,210,1
448,356,1
448,360,1
448,417,2
448,533,1
449,207,1
449,325,3
449,477,1
449,478,1
450,282,1
450,293,1
450,419,1
450,478,4
450,479,6
450,480,1
450,509,1
451,208,1
451,209,4
451,421,2
451,422,1
458,183,2
458,436,3
458,487,1
459,458,1
460,458,1
464,204,1
464,55,1
465,493,3
465,494,1
466,438,4
466,467,5
466,526,1
467,164,1
467,182,1
467,185,1
467,188,7
467,204,1
467,209,1
467,223,1
467,231,1
467,232,3
467,233,1
467,254,2
467,287,3
467,319,3
467,438,2
467,468,2
467,493,1
467,495,13
467,501,1
467,518,1
467,522,1
467,582,1
468,418,1
468,438,1
468,467,6
468,473,1
468,552,1
469,183,1
469,209,1
469,232,1
469,256,1
469,258,1
469,319,1
469,351,1
469,380,1
469,411,2
469,412,1
469,442,1
469,470,3
469,495,1
469,497,1
469,498,1
469,552,1
469,588,1
470,203,2
470,232,1
470,259,1
470,442,1
470,469,3
471,165,1
471,287,1
471,352,1
471,409,1
471,442,2
472,209,1
472,226,1
472,412,1
472,442,3
472,443,1
472,469,2
472,495,1
472,571,1
472,573,1
473,443,1
473,444,4
473,446,1
473,501,1
473,526,2
473,592,1
476,325,1
476,477,1
477,185,2
477,291,1
477,292,1
477,388,1
477,420,2
477,450,1
478,185,1
478,188,1
478,449,1
478,479,4
479,360,1
479,449,1
479,450,12
480,185,1
480,208,1
481,322,1
487,176,1
487,514,9
491,413,1
491,518,1
492,188,2
492,209,4
492,224,1
492,321,1
492,410,1
492,413,3
492,519,1
493,435,1
493,440,1
493,465,2
493,466,2
493,467,1
494,470,1
494,493,1
495,185,2
495,208,1
495,210,1
495,235,1
495,348,1
495,375,1
495,442,6
495,443,1
495,467,7
495,493,1
495,500,1
495,518,1
495,522,4
495,527,1
495,545,1
495,566,2
495,581,1
496,182,1
496,200,1
496,206,1
496,229,1
496,255,1
496,258,1
496,502,1
496,552,1
497,469,2
498,186,1
498,469,3
498,471,1
499,287,1
499,527,2
500,472,2
501,209,1
501,443,3
501,444,1
501,473,2
501,502,4
501,528,1
501,551,1
502,208,1
502,443,1
502,501,6
509,476,1
514,487,8
517,284,1
517,524,1
518,186,2
518,188,1
518,203,1
518,208,6
518,209,1
518,226,1
518,232,1
518,258,1
518,260,1
518,287,1
518,291,1
518,345,1
518,383,1
518,439,1
518,464,1
518,466,1
518,467,1
518,491,1
518,492,1
518,517,1
518,525,1
518,544,1
518,569,1
519,188,3
519,209,2
519,413,1
519,492,1
519,520,1
519,545,2
520,465,1
520,519,1
521,184,2
521,519,1
521,520,1
522,185,1
522,209,1
522,247,1
522,407,3
522,467,2
522,495,1
523,196,1
523,258,2
523,549,1
524,468,1
524,469,1
525,164,1
525,188,1
525,312,1
525,347,1
525,348,1
525,496,1
526,208,1
526,444,1
526,472,1
526,473,2
527,184,1
527,499,1
527,501,1
527,518,1
527,551,1
528,258,1
528,288,1
528,351,1
528,502,1
528,574,1
528,590,1
532,321,1
532,533,1
533,476,1
533,532,1
544,518,1
545,519,1
545,521,1
545,571,1
548,521,1
549,548,1
549,569,1
55,108,1
55,208,1
55,56,1
55,68,1
55,78,1
551,184,1
551,283,1
551,409,1
551,525,1
551,552,1
552,383,1
552,469,2
552,551,1
552,589,2
553,185,1
553,588,1
56,106,1
56,464,1
56,57,1
56,82,1
566,211,1
566,581,2
567,254,1
567,467,2
569,288,1
569,409,1
569,418,1
569,549,1
569,570,1
57,56,1
57,70,3
57,90,1
570,569,1
570,571,1
571,327,1
571,351,1
571,443,1
571,519,1
571,570,1
573,352,1
573,472,1
573,574,2
574,188,3
574,209,1
574,471,1
574,472,1
574,528,1
574,573,1
581,211,1
581,235,2
581,495,2
582,209,1
582,254,2
582,467,1
582,518,1
582,567,1
582,592,1
583,522,1
586,410,1
586,591,1
588,186,1
588,321,1
588,497,1
588,589,1
589,209,1
589,552,1
589,553,1
589,573,1
590,208,3
590,467,1
590,586,1
591,595,1
592,574,1
592,595,2
595,286,1
595,590,1
595,591,1
595,592,1
68,204,2
68,208,2
68,55,1
69,158,1
70,346,1
70,43,1
70,69,1
70,71,1
71,44,1
78,55,1
78,91,1
81,198,1
82,56,1
90,56,1
91,56,1
93,55,1
